"landLabel","choCount"
"Indonesia","260443"
"Japan","14038"
"Mexico","11961"
"Papua New Guinea","9423"
"Greenland","8824"
"Suriname","7817"
"India","6775"
"China","5092"
"Mali","4817"
"Fiji","3093"
"Morocco","2425"
"Brazil","1862"
"Philippines","1859"
"Angola","1772"
"Egypt","1736"
"DR Congo","1580"
"Turkey","1389"
"Guatemala","1365"
"Ghana","1337"
"Peru","1245"
"Yemen","1142"
"Thailand","1064"
"Saudi Arabia","1005"
"Cameroon","870"
"Iran","849"
"Malaysia","732"
"Russia","665"
"Syria","651"
"Pakistan","644"
"Vietnam","609"
"Australia","597"
"Kenya","577"
"Tunisia","577"
"Ecuador","531"
"Nigeria","504"
"Paraguay","480"
"Burkina Faso","475"
"Senegal","467"
"Micronesia","457"
"Myanmar [Burma]","394"
"Afghanistan","393"
"Tanzania","379"
"Algeria","375"
"Central African Republic","357"
"Iraq","353"
"Sri Lanka","264"
"Ethiopia","259"
"French Polynesia","259"
"Mozambique","255"
"Nepal","252"
"South Africa","248"
"Ivory Coast","231"
"Sweden","217"
"Benin","213"
"Sierra Leone","208"
"Kiribati","206"
"Libya","192"
"Colombia","179"
"Zambia","178"
"Costa Rica","154"
"Venezuela","152"
"Congo","144"
"Chile","141"
"Argentina","139"
"Bolivia","124"
"Norway","108"
"Zimbabwe","100"
"United Arab Emirates","99"
"Israel","98"
"Liberia","96"
"Bangladesh","90"
"Gabon","88"
"Vanuatu","76"
"Laos","73"
"Uzbekistan","72"
"South Korea","72"
"Oman","71"
"Togo","61"
"Botswana","60"
"Lebanon","58"
"East Timor","47"
"Uganda","37"
"Denmark","35"
"Kuwait","33"
"New Zealand","31"
"Tonga","31"
"Marshall Islands","31"
"Chad","30"
"Jordan","24"
"Tajikistan","24"
"Guyana","22"
"Cambodia","21"
"Honduras","21"
"Taiwan","21"
"Panama","20"
"Haiti","19"
"French Guiana","19"
"Niger","16"
"South Sudan","16"
"Burundi","15"
"Armenia","14"
"Guinea","13"
"Swaziland","10"
"Uruguay","9"
"Guinea-Bissau","7"
"Namibia","7"
"Nicaragua","6"
"Equatorial Guinea","5"
"Wallis and Futuna","5"
"Eritrea","4"
"Azerbaijan","4"
"Jamaica","4"
"Djibouti","3"
"São Tomé and Príncipe","3"
"Rwanda","3"
"Saint Helena","3"
"Lesotho","2"
"Bhutan","1"
"Mauritania","1"
"El Salvador","1"
